player,team,game_date,passing_yards,rushing_yards,receiving_yards
Lamar Jackson,Unknown,,0.0,0.0,0
Lamar Jackson,Unknown,,0.0,0.0,0
Lamar Jackson,Unknown,,0.0,0.0,0
Lamar Jackson,Unknown,,0.0,0.0,0
C.J. Stroud,Unknown,,0.0,0.0,0
Kirk Cousins,Unknown,,0.0,0.0,0
Kirk Cousins,Unknown,,0.0,0.0,0
Kirk Cousins,Unknown,,0.0,0.0,0
Dak Prescott,Unknown,,0.0,0.0,0
Dak Prescott,Unknown,,0.0,0.0,0
Dak Prescott,Unknown,,0.0,0.0,0
Dak Prescott,Unknown,,0.0,0.0,0
Brock Purdy,Unknown,,0.0,0.0,0
Jared Goff,Unknown,,0.0,0.0,0
Jared Goff,Unknown,,0.0,0.0,0
Jared Goff,Unknown,,0.0,0.0,0
Jared Goff,Unknown,,0.0,0.0,0
